,cars,bus_coach,railways,tram_metro
EU27,3742.2362108397956,327.0114624147776,265.236142631,55.54366732015467
BE,96.74805177866115,9.275136693189042,6.969,0.9459088570117185
BG,52.013458397091995,4.95,1.203,0.75
CZ,87.933,9.094299999999999,6.752,3.6139
DK,58.91,4.834,4.181,0.331
DE,791.2,34.3,57.518,11.2
EE,13.101254870059071,1.288,0.29,0.0568996388
IE,53.81548704913774,8.13790286618248,0.87,0.12165362
EL,97.64614209748986,13.769302919511484,0.653,1.1257800102126505
ES,281.30805122330844,23.66125,17.002,6.421660897475262
FR,718.3677919343593,40.20955510028284,79.517142631,7.335460022838143
HR,23.135,2.39,0.538,0.369219
IT,518.275,80.31,27.693,5.709
CY,6.509219005923859,0.9482326440128633,0.0,0.0
LV,13.4355,1.3771,0.361,0.058512
LT,30.8668958282857,1.45,0.287,0.0
LU,7.551365583382252,0.8940024076575084,0.304,0.03413234432053679
HU,67.394762,12.19,5.435,1.7667846999999999
MT,2.536867616624159,0.41595858807557845,0.0,0.0
NL,115.8,2.945657002188166,10.853,0.5543429978118342
AT,69.162,7.676626248457867,8.38,6.19
PL,231.72,21.087,15.844,2.8746512744581647
PT,90.60545701536832,5.6733,2.912,0.649654
RO,108.99875153030695,19.712311,4.271,3.202613
SI,25.485964844410137,2.3228269452198154,0.504,0.0
SK,26.664190065386354,3.22,1.969,0.14489690334989583
FI,63.6,6.0,2.903,0.4955980538764506
SE,89.452,8.879,8.027,1.592
IS,7.0332866294879395,0.8679289441404264,0.0,0.0
NO,65.336,2.896,1.78,0.562
CH,92.666,5.7168014528,14.223,0.814
BA,0.0,0.8043259586770436,0.018,0.13322071130692884
ME,4.656919302278207,0.032,0.037093,0.0
MD,0.0,2.4754,0.0233,0.0
MK,10.81,0.177,0.025,0.0
AL,12.548504662861072,0.968095325352493,0.001,0.0
RS,30.05764128186371,3.586,0.191,0.6437602073882048
TR,236.76541382887598,74.7816636353528,8.544,0.0
UA,0.0,22.634312889720576,12.484824450378023,9.24347288273872
UK,566.1062643911384,19.42609166013211,30.841,7.886556905292769
