,speed_l_cars_builtup_areas,speed_l_cars_outside_builtup_areas,speed_l_cars_motorways,blood_alcohol_limit,pass_transport_enterpr,expenditure_per_head,tax_fuel,tax_otrans
BE,50.0,93.33333333333333,120.0,0.5,3917.0,1950.0,1.061043,0.661967
BG,50.0,90.0,130.0,0.5,5150.0,750.0,1.679052,0.309
CZ,50.0,100.0,130.0,0.0,4609.0,950.0,1.356264,0.110052
DK,50.0,80.0,130.0,0.5,3520.0,2810.0,0.699097,1.349909
DE,50.0,100.0,130.0,0.5,26631.0,2750.0,0.919025,0.290066
EE,50.0,90.0,90.0,0.2,768.0,1150.0,1.509879,0.040415
IE,50.0,90.0,120.0,0.5,14356.0,1950.0,0.522997,0.458153
EL,50.0,90.0,120.0,0.5,33815.0,1420.0,1.658658,0.843984
ES,50.0,85.0,105.0,0.5,63285.0,1580.0,1.036093,0.235333
FR,50.0,85.0,120.0,0.5,70329.0,2370.0,1.183188,0.234498
HR,50.0,90.0,130.0,0.5,4322.0,790.0,1.433581,0.72534
IT,50.0,90.0,130.0,0.5,29014.0,2060.0,1.379631,0.579723
CY,40.0,80.0,100.0,0.5,1193.0,2010.0,1.412638,0.518386
LV,50.0,90.0,,0.5,1328.0,1070.0,1.713947,0.39353
LT,50.0,80.0,120.0,0.4,10211.0,1770.0,1.599438,0.101967
LU,50.0,90.0,130.0,0.5,257.0,4970.0,1.014303,0.10662
HU,50.0,90.0,120.0,0.0,9807.0,880.0,1.302482,0.298805
MT,45.0,70.0,80.0,0.8,990.0,1430.0,0.733246,0.929707
NL,50.0,80.0,116.66666666666667,0.5,13347.0,2300.0,0.91476,0.93267
AT,50.0,100.0,130.0,0.5,5104.0,2510.0,0.903708,0.866156
PL,55.0,95.0,130.0,0.2,44961.0,1060.0,1.76284,0.181505
PT,50.0,90.0,110.0,0.5,18556.0,1570.0,1.525215,0.563743
RO,50.0,95.0,130.0,0.0,16995.0,870.0,1.24623,0.13987
SI,50.0,90.0,120.0,0.5,1017.0,2170.0,1.898709,0.449971
SK,50.0,90.0,130.0,0.0,5089.0,540.0,1.225084,0.214272
FI,50.0,80.0,100.0,0.22,7974.0,2390.0,1.090437,0.801536
SE,50.0,70.0,110.0,0.2,9686.0,2650.0,0.670037,0.438123
IS,50.0,85.0,,0.5,,,,0.468823
NO,50.0,80.0,100.0,0.2,,,0.517529,0.590425
CH,50.0,90.0,110.0,0.5,,,,
BA,60.0,100.0,130.0,0.3,,,,
ME,50.0,90.0,130.0,0.3,,,,
MD,50.0,100.0,,0.3,,,,
MK,50.0,90.0,120.0,0.5,,,,
AL,40.0,85.0,110.0,0.1,,,,
RS,60.0,90.0,120.0,0.5,,,,
TR,50.0,100.0,120.0,0.5,,,,
UA,50.0,90.0,130.0,0.0,,,,
UK,48.0,96.0,112.0,0.8,,,,
